fold,model,rmse,mae,r2
1,LightGBM,24913.375495384775,15835.449534360727,0.7605626570327624
1,XGBoost,25206.100961614808,16242.35381657438,0.7549029523718364
1,CatBoost,25484.471513724875,16417.671661539232,0.7494594649501196
2,LightGBM,25724.574092718336,16095.900591388505,0.7455373031819548
2,XGBoost,26012.87916940475,16370.624417547766,0.7398016210337196
2,CatBoost,26131.88806051177,16590.49493388612,0.7374153603763547
3,LightGBM,25172.042223349486,16065.20215538708,0.7577227694750185
3,XGBoost,25319.32036803908,16383.085284583378,0.7548794144277207
3,CatBoost,25368.324274438484,16473.191060013836,0.7539296661602206
4,LightGBM,25087.66662351016,15895.141584508121,0.7626517149611474
4,XGBoost,25398.342245468648,16252.304199883403,0.7567368644374542
4,CatBoost,25405.69874082251,16348.718413807659,0.7565959242707205
5,LightGBM,26019.809182369834,16327.69113788922,0.7427969112790034
5,XGBoost,26233.657434841654,16675.340510875852,0.7385518029378808
5,CatBoost,26351.54748776481,16836.4434724355,0.7361967064847297
