state_final,n,rmse,mae,r2,bias,median_actual,median_pred
Unknown,107,43382.500657409415,27386.504897196508,0.2678995099388768,-10850.328614351449,90000.00000000001,84135.20110160044
Florida,196,32404.595011178135,21001.40505124213,0.5584406537422465,-5199.555447834521,86250.00000000001,81988.56475108914
DC,397,32217.475614104,20210.99555466844,0.5911850043918363,-3794.5594461957553,95000.00000000001,97476.66806812544
California,397,31839.954347726867,21698.0212116644,0.6715672220533779,-2953.364716874094,121599.99999999999,120215.44949141324
0,399,29341.772082241256,20885.139877060272,0.6504580397736666,-2768.5468811792443,109999.99999999991,108110.92860908873
NY,3889,28973.80734210435,18557.390287159404,0.724460591186669,-2643.2345500168803,93600.00000000004,96137.54384563796
Texas,186,28638.598219539723,19156.87731894885,0.6290375736345464,-1598.4011259884742,100000.00000000004,98255.5114130975
Georgia,142,28204.238936299796,21221.958938028485,0.615306311805554,-381.77483589080515,104000.00000000003,109397.23046532128
CA,6348,27337.391379148445,17719.072644182663,0.7664572017118463,-3371.9449357723897,94639.99999999996,95421.5566662848
LA,100,26373.18050562432,16254.84362277763,0.5706670936588893,-2547.9784648951863,67500.0,68898.4224950971
England,93,25529.957863591506,18730.5802904697,0.629022666787973,-2130.4973336902117,120000.00000000004,120844.92849393087
MD,541,25405.359001346314,15738.795135560385,0.7060279588871389,-4817.918596272828,82000.0,82412.53150348492
IL,1209,24989.87255309142,16063.87695192709,0.7356529236873014,-2769.3742210720907,80079.99999999997,84130.62005747468
TX,2153,24954.353722802356,15800.877974196646,0.7390619607551763,-2180.5478872898534,80000.0,81329.95205107977
New York,116,24934.525909620308,17584.414707424072,0.7631780482337174,74.54329842316757,106927.49999999999,106752.60078613716
MA,967,24926.28476747813,16308.552293772314,0.7632839616769826,-2854.371035530757,90000.00000000001,91685.82461036526
FL,1426,24901.876164543126,15112.568920337606,0.699835171976938,-2432.4645007991494,67499.99999999996,71291.15766182801
NJ,935,24843.954559260746,17179.64501226921,0.7429001339571204,-2804.460820063667,90000.00000000001,90994.6165174504
VA,892,24709.84369128975,16788.644968652585,0.7452465385313705,-2014.974937819975,92500.00000000007,92718.36632857233
WA,1407,24687.45836334807,16100.800738255733,0.7970177809065826,-2364.9986283596095,93600.00000000004,95238.59905295247
